158.51,117.09,172.76,152.84,143.14
161.29,120.66,169.58,156.68,142.61
155.13,115.58,167,160.17,152.4
156.95,109.66,173.13,162.72,146.17
156.73,161.38,149.29,168.38,164.75
161.59,90.046,111.55,174.36,173.88
167.14,116.39,160.14,166.1,162.85
160.82,102.81,163.29,163.3,158.67
166.03,101.82,152.09,159.2,158.17
154.87,173.64,166.38,164.38,162.01
154.87,97.201,157.43,163.83,167.26
157.89,109.42,175.77,155.89,140.49
166.68,105.52,175.85,172.57,174.07
168.84,94.533,152.88,157.37,158.7
168.63,98.967,155.05,159.71,162.75
166.42,104.37,163.19,169.46,171.81
164.35,105.76,155.76,161.62,164.94
166.93,100.58,160.43,164.2,166.69
156.56,151.89,162.89,155.23,141.2
167.46,129.04,155.98,161.02,162.16
158.29,105.09,160.71,148.31,149.31
169.21,105.86,167.91,168.57,171.86
159.92,95.379,164.25,168.31,170.24
154.28,160.41,158.28,166.07,159.46
155.11,180,169.74,168.23,165.25
159.01,111.13,165.09,159.27,153.73
163.91,173.35,169.36,162.13,160.62
159.48,103.6,166.31,166.74,168.01
159.2,165.48,163.95,146.24,134.42
144.77,180,171.71,176.56,172.21
155.06,93.18,91.868,173.44,171.76
168.79,99.993,163.64,169.89,172.12
167.98,106.48,174.68,171.35,174.54
155.11,168.51,162.66,161.9,162.66
158.32,105.19,151.98,144.33,145.25
146.66,180,163.46,174.03,171.43
154.93,162.07,160.51,161,162.73
158.06,106.89,161.55,155.25,142.08
170.5,103.3,165.48,170.07,172.54
166.11,134.59,168.85,165.24,162.54
159.37,163.94,160.94,153.7,139.62
159.37,93.944,162.08,166.55,165.89
169.6,97.347,163.88,166.21,169.14
164.52,100.31,164.46,167.73,168.67
155.53,153.82,162.74,162.29,162.77
170.53,103.9,157.38,173.64,153.46
162.2,110.07,167.18,156.19,148.64
158.77,101.9,166.32,164.84,164.56
170.62,101.76,155.79,159.45,156.26
172.89,119.43,166.01,168.87,172.85
156.28,149.62,152.11,159.08,163.91
168.29,106.41,174.55,171.2,174.09
166.19,114.6,166.07,169.81,165.45
158.36,99.72,157.49,162.4,167.1
164.94,103.25,167.47,165.2,168.7
166.09,99.575,160.14,162.95,166.1
164.13,106.59,157,164.03,165.59
160.59,113.37,166.26,157.56,151.23
154.84,170.09,163.76,162.57,135.93
168.55,108.07,157.4,163.74,166.08
158.18,103.6,164.38,163.86,164.84
163.86,107.99,180,171.54,174.06
162,98.026,163.03,165.78,167.11
168.09,98.324,167.74,173.06,173.24
160.78,104.37,171.4,169.95,169.3
159.22,134.17,172.76,152.49,141.2
173.2,116.19,166.74,169.03,173.04
155.58,160.95,159.17,160.34,163.74
157.31,136.86,159.15,171.02,164.87
167.84,91.934,163.35,166.31,169.27
163.02,162.76,163.14,172.45,161.1
166.45,95.503,167.11,171.81,173.86
160.4,103.54,151.46,161.66,156.64
164.29,104.07,157.37,154.56,152.2
162.67,100.5,153.02,161.97,164.68
157.91,158.69,163.6,153.42,141.27
169.1,114.89,169.37,167.25,169.8
164.04,106.19,156.01,161.66,165.05
156.77,163.31,153.24,162.7,161.1
145.58,180,167.15,175.24,171.25
164.08,96.779,158.33,163.65,164.23
157.7,95.346,165.2,166.75,167.51
158.91,147.63,161.45,157.08,139.68
167.65,98.409,164.34,166.24,167.89
154.73,115.88,166.86,160.05,152.67
162.06,101.16,164.1,167.08,167.51
166.45,105.77,165.14,168.56,171.09
161.86,100.3,168.74,167.33,166.85
164.15,106.08,155.92,161.61,164.99
162.28,98.573,150.66,155.57,155.83
164.89,122.18,167.44,161.76,160.21
155.13,159.1,163.76,162.84,162.34
164.85,112.65,169.86,160.51,146.55
169.26,107.65,173.06,167.62,170.51
159.25,90.046,158.55,166.02,168.68
148.02,91.346,147.76,160.95,163.91
168.34,109.4,157.37,163.55,165.89
164.33,112.43,172.83,160.75,146.15
166.2,103.34,142.79,172.79,175.1
163.64,102.71,168.98,170.2,174.28
168.52,94.339,164.54,172.13,172.07
157.32,105.17,166.93,153.99,150.19
158.76,102.51,166.28,164.96,164.78
169.78,96.163,162.12,169.2,173.86
156.49,129.12,158.6,158.61,161.84
163.28,95.887,172.6,176.83,173.3
162.71,90.046,168.09,167.35,170.67
161.71,90.046,180,173.86,172.09
169.23,107.23,172.74,167.52,170.41
166.27,104.24,158.7,159.33,160.12
155.43,160.13,161.3,161.2,162.39
155.8,148.78,162.98,162.48,162.92
148.14,94.716,165.6,173.14,168.77
169.48,101.54,171.94,174.42,163.24
163.55,101.4,166.57,166.16,166.28
153.35,95.804,168.25,171.13,169.61
166.41,132.16,157.4,160.95,161.12
165.2,120.23,160.68,162.58,165.41
171.3,106.9,161.71,164.42,158.46
161.18,152.32,124.8,171.9,172.35
170.62,104.79,156.3,162.15,158.93
158.79,101.96,166.34,164.86,164.57
157.77,162.1,159.89,174.22,163.55
162.56,104.56,107.74,172.91,173.62
156.2,90.046,97.322,172.58,169.32
163.66,106.4,156.68,162.09,165.48
160.13,103.61,166.2,166.4,167.15
149.75,97.299,170.17,172.2,168.67
163.19,137.29,168.81,166.42,159.83
150.67,96.045,90.046,173.66,173.15
169.37,103.49,159.06,171.36,155.67
159.84,128.49,97.564,173.22,173.05
155.19,102.9,167.04,166.24,174.78
167.39,99.169,154.18,158.36,161.81
165.7,108.36,154.42,164.74,159.5
168.1,97.273,173.21,176.33,169.42
163.65,100.99,167.58,170.57,171.48
167.99,101.87,155.45,163.72,165.69
159.42,98.702,168.31,172.25,171.53
164.44,122.29,168.16,160.73,154.14
159.91,108.09,164.43,158.75,149.79
157.17,106.96,164.11,163.5,163.32
167.79,104.89,162.13,164.55,164.92
155.4,97.764,157.45,163.57,167.21
166.8,97.678,163.24,165.81,167.73
158.93,97.956,168.08,169.96,169.26
163.12,100.11,159.31,163.66,166.79
164.42,97.218,152.97,156.05,160.22
157.94,109.09,175.61,156.37,141.13
159.8,113.41,166.62,160.86,153.94
169.72,106.62,175.43,172.21,174.17
165.12,102.09,158.49,166.08,169.33
153.8,112.2,163.45,154.11,148.43
167.24,99.884,161.65,164.51,166.54
161.61,100.23,167.64,167.53,169.83
166.64,108.53,158.31,163.41,164.54
167.26,124.01,160.81,166.79,163.12
166.09,132.17,168.96,164.19,170.88
168.25,103.28,172.59,171.38,174.45
158.17,104.51,164.84,163.8,163.27
160.86,90.046,180,173.71,171.71
157.06,117,156.49,164.49,165.78
163.05,158.07,167.98,169.23,164.79
162.96,106.18,167.96,168.58,168.8
163.61,106.48,168.2,169,168.74
154.88,174.13,166.38,164.37,162.02
147.96,171.52,104.1,170.1,175.61
